Name,Emotion,Side,Dialogue
卡洛,Karol_Angry,L,該死...又是同樣的惡夢，真是沒完沒了
卡洛,Karol_Extra,L,昨晚蒐集物資以後就在這睡著了...仔細一看前面的工廠還挺大的，應該可以搜刮一下
？？？,Earth_Base,R,烙印的詛咒者啊...去尋找...那唯一的潔白之人
卡洛,Karol_Shock,L,嗯？剛剛那是……？
卡洛,Karol_Base,L,大概是幻聽吧……還是專心尋找物資吧
,,,
卡洛,Karol_Sad,L,運氣真夠背的……
卡洛,Karol_Extra,L,唉……只好走這了
,,,
卡洛,Karol_Sad,L,原來嚎叫聲從這裏傳來的，果然是魘嗎？這些因著血液中帶有過多厄之骸而失控的醜陋產物，數量還不少……
卡洛,Karol_Sad,L,唉……殘覺醒成這副模樣，根本無法辨認他們原本是什麼生物了
卡洛,Karol_Sad,L,這麼看來我倒應該慶幸自己是全覺醒為厄血族……不過為了別驚動到工廠內的獵人們，還是快速通過吧
卡洛,Karol_Sad,L,不過為了別驚動到工廠內的獵人們，還是快速通過吧
,,,
卡洛,Karol_Shock,L,數量還這麼多嗎？昨夜完全沒發覺……
卡洛,Karol_Happy,L,不過物資已經蒐集到了，還是及早脫離這裡吧……
卡洛,Karol_Shock,L,應該是往那個方向吧……那個是？
,,,
？？？,Earth_Base,R,就在前面了……請出手拯救她
卡洛,Karol_Shock,L,到底是誰？
卡洛,Karol_Angry,L,不管是誰但是你聽好了，我是自己想離開工廠的，別一廂情願地認為我是在聽從你的指示！
卡洛,Karol_Extra,L,又安靜下來了？唉……這樣對空氣叫囂也真夠蠢的
